"DISTRITO","SECCION","BARRIO","PAIS_NACIMIENTO","HOMBRES","MUJERES"
" 01"," 001","SANTA CATALINA","ALEMANIA",8,6
" 01"," 001","SANTA CATALINA","ARGELIA",0,1
" 01"," 001","SANTA CATALINA","ARGENTINA",2,4
" 01"," 001","SANTA CATALINA","ARMENIA",0,1
" 01"," 001","SANTA CATALINA","AUSTRIA",4,2
" 01"," 001","SANTA CATALINA","AZERBAIAN",1,0
" 01"," 001","SANTA CATALINA","BELGICA",0,1
" 01"," 001","SANTA CATALINA","BOLIVIA",0,2
" 01"," 001","SANTA CATALINA","BRASIL",1,1
" 01"," 001","SANTA CATALINA","BULGARIA",2,2
" 01"," 001","SANTA CATALINA","BURKINA FASSO",0,1
" 01"," 001","SANTA CATALINA","CHECOSLOVAQUIA",0,1
" 01"," 001","SANTA CATALINA","CHINA",7,7
" 01"," 001","SANTA CATALINA","COLOMBIA",1,4
" 01"," 001","SANTA CATALINA","CUBA",0,3
" 01"," 001","SANTA CATALINA","DINAMARCA",1,1
" 01"," 001","SANTA CATALINA","ECUADOR",1,1
" 01"," 001","SANTA CATALINA","ESLOVAQUIA",0,1
" 01"," 001","SANTA CATALINA","ESLOVENIA",1,0
" 01"," 001","SANTA CATALINA","ESTADOS UNIDOS DE AMERICA",2,4
" 01"," 001","SANTA CATALINA","ETIOPIA",0,1
" 01"," 001","SANTA CATALINA","FINLANDIA",0,1
" 01"," 001","SANTA CATALINA","FRANCIA",1,13
" 01"," 001","SANTA CATALINA","GAMBIA",0,1
" 01"," 001","SANTA CATALINA","HAITI",1,0
" 01"," 001","SANTA CATALINA","IRLANDA",1,0
" 01"," 001","SANTA CATALINA","ITALIA",11,7
" 01"," 001","SANTA CATALINA","JAPON",1,0
" 01"," 001","SANTA CATALINA","MARRUECOS",4,10
" 01"," 001","SANTA CATALINA","MAURITANIA",1,0
" 01"," 001","SANTA CATALINA","MEXICO",1,2
" 01"," 001","SANTA CATALINA","MONACO",1,0
" 01"," 001","SANTA CATALINA","MONTENEGRO",0,1
" 01"," 001","SANTA CATALINA","NORUEGA",0,1
" 01"," 001","SANTA CATALINA","NUEVA ZELANDA",1,0
" 01"," 001","SANTA CATALINA","PAISES BAJOS",2,0
" 01"," 001","SANTA CATALINA","PERU",1,0
" 01"," 001","SANTA CATALINA","POLONIA",1,2
" 01"," 001","SANTA CATALINA","PORTUGAL",0,4
" 01"," 001","SANTA CATALINA","PRINCIPADO DE ANDORRA",1,1
" 01"," 001","SANTA CATALINA","REINO UNIDO",7,10
" 01"," 001","SANTA CATALINA","REPUBLICA DOMINICANA",0,1
" 01"," 001","SANTA CATALINA","RUMANIA",1,0
" 01"," 001","SANTA CATALINA","SERBIA Y MONTENEGRO",1,0
" 01"," 001","SANTA CATALINA","SUIZA",2,1
" 01"," 001","SANTA CATALINA","UCRANIA",0,1
" 01"," 001","SANTA CATALINA","VENEZUELA",3,0
" 01"," 002","FERIA","ALEMANIA",3,4
" 01"," 002","FERIA","ARGELIA",0,1
" 01"," 002","FERIA","ARGENTINA",0,1
" 01"," 002","FERIA","ARMENIA",1,2
